product_name,category,normal_price,discount_price,reviews_count,rating,discount%,weighted_average
ZzzQuil Natura Συμπλήρωμα Διατροφής με Μελατονίνη & Γεύση Μπανάνα & Μάνγκο 30 Ζελεδάκια,['Αϋπνία'],16.0,10.07,0,0.0,0.37,0.0
Collagen ProActive Πακέτο Προσφοράς Πόσιμο Κολλαγόνο 2x500ml Δώρο 20% Επιπλέον Ποσότητα,"['Θεραπείες Νυχιών - Περιποίηση Χεριών', 'Θεραπείες Μαλλιών', 'Σετ Collagen ProActive', 'Οστά - Αρθρώσεις', 'Μαλλιά - Νύχια - Δέρμα', 'Βιταμίνες για Μαλλιά', 'Συμπληρώματα Κολλαγόνου', 'Βιταμίνες για Τριχόπτωση']",78.31,54.81,54,4.9,0.3,24.540000000000003
Moller's Total Plus 28caps + 28tabs,"['Οστά - Αρθρώσεις', 'Μνήμη - Εγκέφαλος', 'Κόπωση & Κούραση', 'Τόνωση Οφθαλμών', 'Καρδιά - Φλέβες - Αγγεία', 'Κατάθλιψη', 'Ενέργεια & Τόνωση', 'Βιταμίνες για Ενέργεια', 'Ω-3 Λιπαρά Οξέα', 'Μουρουνέλαιο']",22.95,15.84,132,4.9,0.31,55.74
Collagen ProActive Πακέτο Προσφοράς Πόσιμο Κολλαγόνο 4x500ml Δώρο 20% Επιπλέον Ποσότητα,"['Θεραπείες Νυχιών - Περιποίηση Χεριών', 'Θεραπείες Μαλλιών', 'Σετ Collagen ProActive', 'Οστά - Αρθρώσεις', 'Μαλλιά - Νύχια - Δέρμα', 'Βιταμίνες για Μαλλιά', 'Συμπληρώματα Κολλαγόνου', 'Βιταμίνες για Τριχόπτωση']",156.6,100.85,12,4.8,0.36,7.680000000000001
Moller’s Forte Μουρουνέλαιο 150caps,"['Μνήμη - Εγκέφαλος', 'Τόνωση Οφθαλμών', 'Καρδιά - Φλέβες - Αγγεία', 'Χοληστερίνη - Τριγλυκερίδια', 'Ω-3 Λιπαρά Οξέα', 'Μουρουνέλαιο']",33.9,23.73,76,4.9,0.3,33.34
Tonotil Plus Συμπλήρωμα Διατροφής με 4 Αμινοξέα B12 & Καρνιτίνη 15 vials x 10ml,"['Κόπωση & Κούραση', 'Ενέργεια & Τόνωση', 'Βιταμίνες για Ενέργεια']",18.41,13.99,9,5.0,0.24,6.6
Collagen ProActive 500ml & Δώρο 20% Επιπλέον Ποσότητα,"['Θεραπείες Νυχιών - Περιποίηση Χεριών', 'Θεραπείες Μαλλιών', 'Σετ Collagen ProActive', 'Οστά - Αρθρώσεις', 'Μαλλιά - Νύχια - Δέρμα', 'Βιταμίνες για Μαλλιά', 'Συμπληρώματα Κολλαγόνου', 'Βιταμίνες για Τριχόπτωση']",39.15,28.19,123,4.9,0.28,52.14
Ducray Πακέτο Προσφοράς Anacaps Reactiv 2x30caps Promo -20%,"['Βιταμίνες 1+1', 'Μαλλιά - Νύχια - Δέρμα', 'Προϊόντα σε τιμή κόστους!', 'Βιταμίνες για Μαλλιά', 'Βιταμίνες για Τριχόπτωση']",49.28,34.0,16,4.7,0.31,9.22
Forte Pharma Xtra Slim Burner MAX 500ml,"['Λιποδιαλύτες για Κάψιμο Λίπους', 'Δέσμευση Λίπους', 'Αποτοξίνωση', 'Κατακράτηση Υγρών', 'Αποτοξίνωση Οργανισμού']",30.84,16.96,4,5.0,0.45,4.6
Menarini Prostamol 60caps,"['Ουροποιητικό', 'Προστάτης', 'Συμπληρώματα Διατροφής για τον Άνδρα']",33.95,16.53,28,4.8,0.51,14.080000000000002
Solgar Lipotropic Factors Συμπλήρωμα Διατροφής για Απώλεια Βάρους & Μείωση Χοληστερίνης 2x50 Ταμπλέτες Promo -50% στο 2ο Προϊόν,"['Βιταμίνες 1+1', 'Bazaar Aδυνατιστικών', 'Λιποδιαλύτες για Κάψιμο Λίπους', 'Διατήρηση Βάρους', 'Προστασία Ήπατος', 'Βιταμίνες Κατάλληλες για Vegan']",35.92,29.81,58,4.6,0.17,25.96
Moller’s Ω3 Παιδικά Ζελεδάκια με Ω3 Λιπαρά Οξέα σε Σχήμα Ψαριού & Υπέροχη Γεύση Φράουλα 36 τεμάχια,"['Μνήμη - Εγκέφαλος', 'Τόνωση Οφθαλμών', 'Καρδιά - Φλέβες - Αγγεία', 'Ενέργεια & Τόνωση', 'Χοληστερίνη - Τριγλυκερίδια', 'Βιταμίνες για Ενέργεια', 'Παιδικές Βιταμίνες - Συμπληρώματα Διατροφής', 'Ω-3 Λιπαρά Οξέα']",18.6,13.02,67,4.9,0.3,29.74
Uni-Pharma Vitamin D3 Fix Extra 2000iu 60tabs,"['Βιταμίνη D3', 'Άγχος - Στρες', 'Ανοσοποιητικό', 'Κόπωση & Κούραση', 'Μαλλιά - Νύχια - Δέρμα', 'Βιταμίνες για Μαλλιά']",13.17,10.01,28,4.9,0.24,14.14
Neural Plactive Συμπλήρωμα Διατροφής για την Ομαλή Λειτουργία του Νευρικού Συστήματος 30 Δισκία,"['Βιταμίνη Β', 'Οστά - Αρθρώσεις', 'Καρδιά - Φλέβες - Αγγεία']",35.01,22.4,6,5.0,0.36,5.4
Health Aid Osteoflex Plus 60tabs,"['Ειδικά Συμπληρώματα για Αθλητές', 'Οστά - Αρθρώσεις', 'Μαραθώνιος']",42.0,25.2,31,4.8,0.4,15.28
Power Health Floradix Epresat 250ml,"['Μνήμη - Εγκέφαλος', 'Κόπωση & Κούραση', 'Ενέργεια & Τόνωση', 'Βιταμίνες για Ενέργεια', 'Παιδικές Βιταμίνες - Συμπληρώματα Διατροφής']",32.9,19.74,10,4.8,0.4,6.88
Uni-Pharma B12 Fix 1000μg Methylcobalamin 30 Disp.tabs,"['Ανοσοποιητικό', 'Βιταμίνη Β12']",9.23,6.74,65,4.9,0.27,28.94
Vital Plus Q10 Συμπλήρωμα Διατροφής για Καθημερινή Ενέργεια & Τόνωση σε Κάψουλες 60caps,"['Πολυβιταμίνες σε Κάψουλες', 'Πολυβιταμίνες', 'Ενέργεια & Τόνωση', 'Βιταμίνες για Ενέργεια', 'Συνένζυμο Q10']",39.9,19.91,20,4.8,0.5,10.88
Priorin Extra 60caps,"['Θεραπείες Μαλλιών', 'Μαλλιά - Νύχια - Δέρμα', 'Βιταμίνες για Μαλλιά', 'Βιταμίνες για Τριχόπτωση']",36.95,25.13,47,4.9,0.32,21.74
Health Aid Cellusite 60tabs,"['Bazaar Aδυνατιστικών', 'Λιποδιαλύτες για Κάψιμο Λίπους', 'Μείωση Όρεξης', 'Ενίσχυση Μεταβολισμού', 'Αποτοξίνωση', 'Βιταμίνες Κατάλληλες για Vegan']",27.5,14.57,18,4.4,0.47,9.84
ZzzQuil Natura Συμπλήρωμα Διατροφής με Μελατονίνη - 60 Zελεδάκια,['Αϋπνία'],24.99,16.24,8,4.3,0.35,5.779999999999999
Solgar Lipotropic Factors 100tabs,"['Λιποδιαλύτες', 'Λιποδιαλύτες για Κάψιμο Λίπους', 'Βιταμίνες Κατάλληλες για Vegan']",44.95,29.67,57,4.6,0.34,25.56
Bausch & Lomb Ocuvite Complete Συμπλήρωμα Διατροφής για την Διατήρηση της Φυσιολογικής Όρασης 60caps,['Τόνωση Οφθαλμών'],26.08,19.56,4,5.0,0.25,4.6
Power of Nature Platinum Range CLA Max 1900mg / Day 60caps,"['Λιποδιαλύτες', 'Λιποδιαλύτες για Κάψιμο Λίπους']",36.9,18.45,1,5.0,0.5,3.4
Health Aid Lipotropic Συμπλήρωμα Διατροφής Λιποδιαλυτικό για Σωστό Μεταβολισμό & Μείωση του Σωματικού Βάρους 2x60tabs,"['Λιποδιαλύτες για Κάψιμο Λίπους', 'Ενίσχυση Μεταβολισμού', 'Βιταμίνες Κατάλληλες για Vegan']",41.25,26.4,4,5.0,0.36,4.6
Centrum Women A to Zinc 60tabs,"['Πολυβιταμίνες', 'Ανοσοποιητικό', 'Ενέργεια & Τόνωση', 'Συμπληρώματα Διατροφής για την Γυναίκα', 'Βιταμίνες για Ενέργεια']",26.45,18.51,20,5.0,0.3,11.0
Solgar Skin Nails & Hair Formula 120tabs,"['Θεραπείες Μαλλιών', 'Μαλλιά - Νύχια - Δέρμα', 'Προϊόντα σε τιμή κόστους!', 'Βιταμίνες για Μαλλιά', 'Βιταμίνες Κατάλληλες για Vegan', 'Βιταμίνες για Τριχόπτωση']",44.45,29.78,63,4.8,0.33,28.08
Superfoods Slimdetox 300ml,"['Αποτοξίνωση', 'Κατακράτηση Υγρών', 'Αποτοξίνωση Οργανισμού', 'Προϊόντα σε τιμή κόστους!']",17.5,10.15,21,4.1,0.42,10.86
Eviol MultiVitamin Energy Plus Συμπλήρωμα Διατροφής για Έξτρα Ενέργεια & Τόνωση στον Οργανισμό 30 Soft.caps,"['Πολυβιταμίνες', 'Ενέργεια & Τόνωση', 'Βιταμίνες για Ενέργεια']",16.5,15.18,14,4.9,0.08,8.540000000000001
Kinisis Progen Liquid 600ml,"['Οστά - Αρθρώσεις', 'Οστεοπόρωση']",35.01,23.06,1,5.0,0.34,3.4
Solgar Skin Nails & Hair Formula 60tabs,"['Θεραπείες Μαλλιών', 'Μαλλιά - Νύχια - Δέρμα', 'Προϊόντα σε τιμή κόστους!', 'Βιταμίνες για Μαλλιά', 'Βιταμίνες Κατάλληλες για Vegan', 'Βιταμίνες για Τριχόπτωση']",28.45,19.06,62,4.8,0.33,27.68
Vitabiotics Pregnacare Breast-Feeding 56tabs & 28caps,"['Εγκυμοσύνη - Θηλασμός', 'Συμπληρώματα Διατροφής για Εγκύους & Θηλάζουσες Μητέρες']",27.61,18.5,11,5.0,0.33,7.4
Nutricia Fortimel Energy Vanilla 4x200ml,"['Ενέργεια & Τόνωση', 'Βιταμίνες για Ενέργεια']",11.36,10.68,10,5.0,0.06,7.0
Solgar Thermogenic Complex with Svetol 60veg.caps,"['Λιποδιαλύτες', 'Λιποδιαλύτες για Κάψιμο Λίπους', 'Ενίσχυση Μεταβολισμού', 'Βιταμίνες Κατάλληλες για Vegan']",49.95,32.97,3,4.3,0.34,3.78
"SM Pharmaceuticals Motil Συμπλήρωμα Διατροφής, Συμβάλει στην Φυσιολογική Γονιμότητα & Αναπαραγωγή 10 Effer.tabs","['Γονιμότητα', 'Συμπληρώματα Διατροφής για τον Άνδρα', 'Τονωτικά Διεγερτικά']",20.08,10.04,3,4.7,0.5,4.02
Moller’s Μουρουνέλαιο Γεύση Φρούτων 250ml,"['Μνήμη - Εγκέφαλος', 'Τόνωση Οφθαλμών', 'Καρδιά - Φλέβες - Αγγεία', 'Χοληστερίνη - Τριγλυκερίδια', 'Pharm24 Bazaar', 'Ω-3 Λιπαρά Οξέα', 'Μουρουνέλαιο']",21.85,15.29,33,4.9,0.3,16.14
Solgar Magnesium Citrate Tabs,"['Μαγνήσιο', 'Καρδιά - Φλέβες - Αγγεία', 'Βιταμίνες Κατάλληλες για Vegan']",22.95,15.61,10,5.0,0.32,7.0
Power Health Epresat Multi-Vitam 10 Μονοδόσεις χ 10ml,"['Μνήμη - Εγκέφαλος', 'Κόπωση & Κούραση', 'Ενέργεια & Τόνωση', 'Βιταμίνες για Ενέργεια', 'Παιδικές Βιταμίνες - Συμπληρώματα Διατροφής']",27.21,17.68,18,5.0,0.35,10.2
Solgar Lipotropic Factors 50tabs,"['Λιποδιαλύτες', 'Λιποδιαλύτες για Κάψιμο Λίπους', 'Βιταμίνες Κατάλληλες για Vegan']",26.95,16.17,59,4.6,0.4,26.36
Lamberts Multi-Guard ADR 120tabs,"['Άγχος - Στρες', 'Κόπωση & Κούραση', 'Συμπληρώματα Διατροφής για τον Άνδρα']",54.24,37.97,6,4.8,0.3,5.28
Solgar Meta-Flex Glucosamine Hyaluronic Acid Chondroitin Msm 60 tabs,"['Οστά - Αρθρώσεις', 'Μαραθώνιος', 'Προϊόντα σε τιμή κόστους!']",55.95,37.49,23,4.9,0.33,12.14
Medical PQ Nevralip 600 Retard Συμπλήρωμα Διατροφής με Ισχυρές Αντιοξειδωτικές & Νευροτροφικές Ιδιότητες 30tabs,"['Αντιοξειδωτικά', 'Οστά - Αρθρώσεις', 'Διαβήτης', 'Ημικρανίες']",38.84,27.98,23,4.7,0.28,12.02
Uni-Pharma Vitamin D3 Fix Max 4000 IU 60tabs,"['Βιταμίνη D3', 'Οστά - Αρθρώσεις', 'Ανοσοποιητικό']",19.24,13.86,14,5.0,0.28,8.600000000000001
"Uni-Pharma D3 Fix 1200 IU Συμβάλλει στη Φυσιολογική Λειτουργία των Οστών,των Δοντιών,των Μυών και του Ανοσοποιητικού 60tabs","['Βιταμίνη D3', 'Οστά - Αρθρώσεις', 'Ανοσοποιητικό', 'Μαλλιά - Νύχια - Δέρμα', 'Γερά Δόντια', 'Βιταμίνες για Μαλλιά']",10.43,8.03,14,4.7,0.23,8.42
